ICRF Designation,IERS Des.,Inf.,RA,Dec,dRA,dDec,Corr.,Mean,First,Last,Nbs,Nbd,Nbr
ICRF,J133634.3-185241,1333-186,204.143306,-18.878243,0.00000628,0.0002052,-0.0891,56560.2,53560.8,57804.9,3,217,0
ICRF,J133635.6-171727,1333-170,204.148519,-17.290861,0.00004096,0.0002811,0.0528,57974.7,57974.7,57974.7,1,56,0
ICRF,J133639.0-335757,1333-337,204.162636,-33.965854,0.00000748,0.0001659,-0.4655,57075.3,54489.7,58003.7,26,672,0
ICRF,J133716.0+653246,1335+658,204.316915,65.546199,0.00002733,0.0001550,0.2150,56817.5,54943.7,57905.2,2,275,0
ICRF,J133739.6+020657,1335+023,204.415141,2.115973,0.00002144,0.0005250,0.1299,57693.2,57219.8,57920.8,2,154,0
ICRF,J133739.7-125724,1334-127,204.415762,-12.956859,0.00000208,0.0000308,-0.0291,53237.3,46840.8,58193.8,3255,115025,0
ICRF,J133749.6+550102,1335+552,204.456843,55.017255,0.00000990,0.0000919,-0.0325,55911.8,49577.0,58204.3,5,384,0
ICRF,J133752.4-650924,1334-649,204.468521,-65.156916,0.00026142,0.0017961,-0.3218,53081.1,48043.8,57442.7,5,22,0
ICRF,J133901.7-240114,1336-237,204.757277,-24.020557,0.00000570,0.0001593,-0.0562,54444.2,50632.3,57099.3,11,397,0
ICRF,J133907.1-063704,1336-063,204.779773,-6.618022,0.00001793,0.0006499,-0.6309,58137.6,58137.6,58137.6,1,97,0
ICRF,J133917.5-181904,1336-180,204.823102,-18.318028,0.00001080,0.0002582,-0.1307,57844.3,57597.7,58048.6,3,160,0
ICRF,J133919.8-262030,1336-260,204.832878,-26.341804,0.00000714,0.0001831,-0.1143,54335.2,50632.3,58059.7,7,323,0
ICRF,J133923.7+632858,1337+637,204.849095,63.482896,0.00002272,0.0001294,0.2869,56078.1,49827.5,57915.1,3,316,0
ICRF,J134004.6-013746,1337-013,205.019229,-1.629595,0.00000486,0.0001536,-0.2977,56462.8,50576.2,58144.4,4,325,0
ICRF,J134013.3-033520,1337-033,205.055435,-3.589112,0.00001548,0.0004441,-0.2005,57461.4,54125.8,58144.4,4,291,0
ICRF,J134022.9+375443,1338+381,205.095633,37.912176,0.00001243,0.0002521,-0.1458,51972.7,48942.5,58011.8,18,245,0
ICRF,J134036.0+360026,1338+362,205.150040,36.007426,0.00002064,0.0003571,0.0338,57300.5,54112.8,57905.2,3,207,0
ICRF,J134048.0+692322,1339+696,205.200031,69.389645,0.00002463,0.0001065,0.0739,57643.2,57099.3,57915.1,2,270,0
ICRF,J134100.8-164313,1338-164,205.253638,-16.720395,0.00001750,0.0004284,0.1768,57829.0,57610.7,57933.8,3,134,0
ICRF,J134115.2+281605,1338+285,205.313678,28.268077,0.00000680,0.0001727,-0.0575,56319.3,50219.8,57944.2,3,248,0
ICRF,J134159.9+370710,1339+373,205.499631,37.119484,0.00016379,0.0029547,0.1816,58170.7,58170.7,58170.7,1,28,0
ICRF,J134204.6+124249,1339+129,205.519325,12.713880,0.00001268,0.0003188,-0.1831,57893.7,57160.0,58048.6,3,180,0
ICRF,J134204.7-205129,1339-206,205.519748,-20.858206,0.00000564,0.0001738,-0.2781,54526.8,50632.3,57915.1,4,309,0
ICRF,J134208.3+270930,1339+274,205.534903,27.158505,0.00000597,0.0001396,0.0598,55694.5,50219.8,57944.2,3,289,0
ICRF,J134215.3-290041,1339-287,205.563940,-29.011620,0.00000560,0.0001621,-0.0820,56289.2,50688.3,58170.7,23,730,0
ICRF,J134300.5+685517,1341+691,205.752307,68.921432,0.00002779,0.0001467,-0.0288,57323.5,49827.5,57915.1,4,269,0
ICRF,J134337.4-174755,1340-175,205.905892,-17.798735,0.00000610,0.0001908,-0.0949,56083.7,50632.3,57809.9,3,234,0
ICRF,J134345.9+660225,1342+662,205.941498,66.040485,0.00000512,0.0000314,0.0445,56138.5,47783.2,58200.8,254,21736,0
ICRF,J134408.6+660611,1342+663,206.036165,66.103234,0.00000572,0.0000342,0.0333,55084.2,44343.6,58100.0,112,5914,0
ICRF,J134414.4-172340,1341-171,206.060010,-17.394554,0.00000457,0.0001428,0.0068,56630.1,53573.0,57809.9,5,374,0
ICRF,J134533.1+445259,1343+451,206.388219,44.883215,0.00000842,0.0001030,-0.1040,56447.1,53561.9,57971.2,3,289,0
ICRF,J134536.9+382312,1343+386,206.403926,38.386807,0.00001822,0.0005315,0.0922,57186.0,54112.8,57905.2,3,140,0
ICRF,J134549.3+070631,1343+073,206.455478,7.108644,0.00000738,0.0002265,0.0899,56949.6,53560.8,57920.8,3,253,0
ICRF,J134551.5-301504,1343-300,206.464667,-30.251276,0.00001623,0.0005530,-0.2425,56914.4,52306.7,58144.4,4,209,0
ICRF,J134649.0-602429,1343-601,206.704344,-60.408154,0.00017952,0.0012244,0.4819,54036.2,52887.6,57988.7,7,28,0
ICRF,J134704.5-181959,1344-180,206.769043,-18.333255,0.00001390,0.0002612,-0.1013,57781.6,57597.7,57809.9,2,150,0
ICRF,J134723.4+183537,1344+188,206.847876,18.593771,0.00000618,0.0001430,-0.1377,53685.3,50085.5,57915.1,4,395,0
ICRF,J134731.4+055233,1345+061,206.881020,5.876057,0.00001696,0.0004851,0.2373,57222.6,53134.5,57920.8,3,197,0
ICRF,J134733.3+121724,1345+125,206.889007,12.290067,0.00000933,0.0002577,-0.2971,50975.4,47659.7,58074.8,16,219,0
ICRF,J134740.4-375036,1344-375,206.918454,-37.843506,0.00001122,0.0003627,-0.1158,57154.9,53153.2,58144.4,4,141,0
ICRF,J134804.3+284025,1345+289,207.018121,28.673713,0.00001737,0.0005158,-0.0739,57561.3,56393.8,57944.2,2,166,0
ICRF,J134839.9-164001,1345-164,207.166287,-16.667088,0.00002076,0.0006568,-0.2600,57848.6,57610.7,57933.8,3,131,0
ICRF,J134859.2-170406,1346-168,207.246793,-17.068350,0.00001507,0.0005894,-0.3015,57538.4,57047.0,57836.8,2,135,0
ICRF,J134903.1-111000,1346-109,207.263304,-11.166894,0.00000675,0.0002295,-0.1997,57523.3,57047.0,57836.8,2,194,0
ICRF,J134920.3-305624,1346-306,207.334994,-30.940054,0.00001077,0.0003424,-0.4538,57226.8,54965.8,58144.4,4,215,0
ICRF,J134931.4-113253,1346-113,207.381014,-11.548286,0.00000763,0.0002565,-0.2218,55534.1,50576.2,57836.8,3,217,0
ICRF,J134934.6+534117,1347+539,207.394403,53.688067,0.00000513,0.0000516,-0.1444,52155.9,47931.6,57103.0,29,1478,0
ICRF,J135014.0-220441,1347-218,207.558709,-22.078077,0.00001128,0.0003391,-0.0773,55268.6,50632.3,57915.1,4,263,0
ICRF,J135022.1+094010,1347+099,207.592233,9.669626,0.00000793,0.0002052,0.1245,56149.4,49914.7,57944.2,3,253,0
ICRF,J135036.1-163449,1347-163,207.650600,-16.580421,0.00000896,0.0002936,0.0576,57077.5,53561.9,57840.3,3,175,0
ICRF,J135038.1+613248,1349+617,207.659112,61.546810,0.00003169,0.0002279,-0.1705,57602.5,49577.0,57915.1,3,225,0
ICRF,J135045.6+233145,1348+237,207.690243,23.529211,0.00001532,0.0003367,0.1083,56677.3,53126.1,57944.2,3,227,0
ICRF,J135052.7+303453,1348+308,207.719734,30.581553,0.00000341,0.0000439,-0.0130,56358.2,50219.8,58031.7,74,2364,0
ICRF,J135116.9+083039,1348+087,207.820496,8.511084,0.00000422,0.0001272,-0.0009,56323.2,53126.1,57944.2,4,359,0
ICRF,J135146.8-291217,1348-289,207.945162,-29.204903,0.00000777,0.0002420,-0.3190,56476.6,53126.1,57915.1,3,186,0
ICRF,J135152.6-144914,1349-145,207.969373,-14.820711,0.00000550,0.0001792,-0.1784,55402.3,50632.3,57840.3,3,248,0
ICRF,J135228.0-274507,1349-275,208.116859,-27.751981,0.00000710,0.0002249,-0.2274,57206.2,53573.0,57920.8,3,172,0
ICRF,J135256.5-441240,1349-439,208.235562,-44.211219,0.00000551,0.0000761,-0.1015,55057.6,48110.9,58031.7,84,789,0
ICRF,J135323.1+753257,1352+757,208.346534,75.549371,0.00002186,0.0000843,-0.0108,56698.1,49827.5,57901.9,3,303,0
ICRF,J135351.5+015153,1351+021,208.464935,1.864969,0.00000769,0.0002755,0.0367,57150.8,53560.8,57944.2,3,207,0
ICRF,J135406.8-020603,1351-018,208.528731,-2.100886,0.00000205,0.0000345,-0.0100,54841.0,48573.8,58200.8,1449,33107,0
ICRF,J135446.5-104102,1352-104,208.693828,-10.684071,0.00000276,0.0000462,-0.0084,55602.1,50456.8,58137.8,141,2727,0
ICRF,J135546.6-632642,1352-632,208.944217,-63.445159,0.00031496,0.0016371,0.0039,52043.7,49535.0,55784.7,5,14,0
ICRF,J135547.8-094755,1353-095,208.949562,-9.798666,0.00003372,0.0011753,-0.4941,58144.4,58144.4,58144.4,1,82,0
ICRF,J135603.3+483137,1354+487,209.013856,48.527100,0.00003130,0.0003732,-0.1862,57615.2,56875.5,57971.2,2,197,0
ICRF,J135605.3-342110,1353-341,209.022444,-34.353016,0.00001613,0.0004717,-0.4580,56677.1,52306.7,58159.9,4,169,0
ICRF,J135606.9-172431,1353-171,209.028971,-17.408838,0.00000863,0.0002846,-0.1454,57311.6,53573.0,57840.3,3,169,0
ICRF,J135640.3+243100,1354+247,209.168250,24.516725,0.00003013,0.0009525,-0.1650,57500.9,56393.8,57951.4,3,99,0
ICRF,J135646.8-110129,1354-107,209.195133,-11.024785,0.00001006,0.0003134,-0.1094,57187.4,53561.9,57840.3,3,168,0
ICRF,J135704.4+191907,1354+195,209.268486,19.318715,0.00000303,0.0000511,-0.2741,50158.0,44447.0,58177.7,183,2860,0
ICRF,J135706.0-174401,1354-174,209.275309,-17.733862,0.00000734,0.0001166,-0.0939,53779.2,50456.8,58137.6,41,393,0
ICRF,J135711.2-152728,1354-152,209.296854,-15.457996,0.00000231,0.0000370,-0.0700,55838.5,46875.8,58204.3,352,7128,0
ICRF,J135740.5+435359,1355+441,209.419134,43.899936,0.00002037,0.0001980,-0.0945,56054.5,52409.7,57971.2,3,216,0
ICRF,J135755.3+764321,1357+769,209.480715,76.722514,0.00000879,0.0000303,-0.0377,52894.6,47011.4,58170.7,2174,224798,0
ICRF,J135801.3+834021,1400+839,209.505617,83.672767,0.00031094,0.0003378,-0.1029,57956.3,57920.8,58048.6,2,173,0
ICRF,J135822.4+111932,1355+115,209.593415,11.325811,0.00001096,0.0002630,-0.1462,56655.8,53560.8,57915.1,3,177,0
ICRF,J135840.6+473758,1356+478,209.669444,47.632864,0.00001093,0.0001322,-0.0430,56817.9,53561.9,57978.6,3,260,0
ICRF,J135900.1-415252,1355-416,209.750771,-41.881289,0.00007497,0.0015663,-0.4426,55315.9,48110.9,57920.8,7,44,0
ICRF,J135905.7+554429,1357+559,209.773931,55.741495,0.00001432,0.0001338,-0.0293,57491.6,53573.0,57836.8,3,225,0
ICRF,J135927.1+015954,1356+022,209.863122,1.998490,0.00000534,0.0001272,-0.1253,54838.6,49914.7,57944.2,4,278,0
ICRF,J135938.0+401138,1357+404,209.908726,40.193959,0.00000773,0.0001202,-0.1093,55367.8,50242.8,57978.6,3,276,0
ICRF,J140003.8-185811,1357-187,210.016108,-18.969746,0.00000537,0.0001658,-0.2507,56427.4,53523.9,58137.6,4,301,0
ICRF,J140020.4-102341,1357-101,210.085248,-10.394725,0.00006075,0.0020227,-0.7126,58137.6,58137.6,58137.6,1,58,0
ICRF,J140028.6+621038,1358+624,210.119368,62.177386,0.00003219,0.0002221,-0.1230,56941.3,52409.7,57920.8,3,159,0
ICRF,J140048.4+042530,1358+046,210.201850,4.425245,0.00000912,0.0002658,0.0683,57442.2,53560.8,57951.4,3,175,0
ICRF,J140105.3-091631,1358-090,210.272216,-9.275437,0.00000609,0.0002066,-0.4174,56360.8,50576.2,58144.4,4,385,0
ICRF,J140134.9-300436,1358-298,210.395581,-30.076909,0.00000971,0.0002921,-0.0377,57239.0,53126.1,58159.9,4,199,0
ICRF,J140145.6+583542,1400+588,210.440417,58.595074,0.00002922,0.0002003,-0.0389,57236.6,53561.9,57836.8,4,217,0
ICRF,J140202.4-282225,1359-281,210.510007,-28.373651,0.00001042,0.0003246,-0.2142,55698.4,50688.3,57920.8,3,194,0
ICRF,J140244.5+155956,1400+162,210.685473,15.999074,0.00000841,0.0002074,-0.0975,57467.0,53573.0,57920.8,3,185,0
ICRF,J140245.7-182556,1400-181,210.690648,-18.432341,0.00001164,0.0002767,-0.1283,57969.4,57610.7,58137.6,4,181,0
ICRF,J140248.5-184047,1400-184,210.702102,-18.679858,0.00000673,0.0002338,-0.2785,56899.2,54112.8,58144.4,5,295,0
ICRF,J140313.2+061008,1400+064,210.805392,6.168988,0.00001890,0.0006045,-0.2361,57394.8,57012.1,57951.4,2,135,0
ICRF,J140405.2+655137,1402+660,211.021996,65.860440,0.00002376,0.0001362,0.0133,56934.4,52409.7,57920.8,3,236,0
ICRF,J140412.1-001325,1401+000,211.050517,0.223636,0.00000460,0.0001322,-0.2052,56448.1,50576.2,58159.9,4,434,0
ICRF,J140432.9+072846,1402+077,211.137468,7.479712,0.00001106,0.0003200,0.3423,56605.4,53560.8,57951.4,3,235,0
ICRF,J140445.8-013021,1402-012,211.191231,-1.506096,0.00000589,0.0000936,-0.0766,53281.4,48664.8,58159.9,40,718,0
ICRF,J140501.1+041535,1402+044,211.254666,4.259950,0.00000327,0.0000776,-0.1880,52245.5,48888.7,57974.7,69,1340,0
ICRF,J140507.7+405657,1403+411,211.282481,40.949398,0.00000753,0.0001156,-0.0873,56173.5,53126.1,57978.6,3,294,0
ICRF,J140532.8-144018,1402-144,211.386947,-14.671749,0.00000655,0.0002304,-0.3163,56118.2,50576.2,58144.4,4,283,0
ICRF,J140600.5-105849,1403-107,211.502380,-10.980539,0.00003263,0.0012673,-0.8085,58144.4,58144.4,58144.4,1,64,0
ICRF,J140600.7-084806,1403-085,211.502925,-8.801911,0.00000493,0.0001574,-0.2548,56424.6,50576.2,58159.9,4,378,0
ICRF,J140636.5+782810,1406+787,211.652362,78.469557,0.00005738,0.0001741,-0.1017,55002.2,49827.5,57901.9,3,284,0
ICRF,J140653.8+343337,1404+347,211.724364,34.560363,0.00000851,0.0001462,-0.2605,55494.1,50219.8,57905.2,3,273,0
