name,iauname,type,RA,DEC,RAJ2000,DEJ2000,dalp,ddel,coor,nobs,stot,stotunres,ctot,ctotunres,xtot,xtotunres,utot,utotunres,ktot,ktotunres,ctype,catname,flag
1417-354,J1420-3542,N,14:20:02.183383,-35:42:58.57256,215.0090974292,-35.7162701556,2.28,11.57,0.002,12,-1.0,-1.0,0.053,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1417+064,J1420+0614,C,14:20:13.690134,+06:14:28.64036,215.057042225,6.2412889889,1.72,3.93,-0.518,12,-1.0,-1.0,0.016,-1.0,0.018,0.024,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1418+466,J1420+4624,C,14:20:20.679709,+46:24:40.94172,215.0861654542,46.4113727,2.22,3.48,0.296,28,-1.0,-1.0,0.033,0.029,0.027,0.026,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1417+172,J1420+1703,C,14:20:20.891163,+17:03:29.17541,215.0870465125,17.0581042806,0.12,0.18,-0.088,1077,0.119,0.122,0.193,0.19,0.326,0.292,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1418+123,J1420+1205,U,14:20:48.009831,+12:05:45.98298,215.2000409625,12.0961063833,3.26,9.21,-0.243,11,-1.0,-1.0,0.015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1418+046,J1420+0427,U,14:20:49.716315,+04:27:49.17334,215.2071513125,4.4636592611,12.39,16.45,0.299,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1418-064,J1420-0640,C,14:20:50.968446,-06:40:10.64494,215.212368525,-6.6696235944,0.47,1.08,-0.182,71,-1.0,-1.0,0.056,0.024,0.05,0.026,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1418-110,J1421-1118,C,14:21:00.150626,-11:18:20.40477,215.2506276083,-11.3056679917,0.19,0.53,-0.334,245,-1.0,-1.0,-1.0,-1.0,0.105,0.095,0.105,0.095,-1.0,-1.0,Fus,rfc_2024,-
1418+053,J1421+0508,U,14:21:04.245993,+05:08:44.80858,215.2676916375,5.1457801611,7.97,6.09,0.293,9,-1.0,-1.0,0.018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1419+391,J1421+3855,C,14:21:06.031698,+38:55:22.82671,215.275132075,38.9230074194,0.3,0.32,-0.103,515,-1.0,-1.0,0.054,0.058,0.081,0.122,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1418-065,J1421-0643,C,14:21:07.755618,-06:43:56.35587,215.282315075,-6.732321075,0.12,0.23,0.134,544,0.283,0.084,-1.0,-1.0,0.183,0.059,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1419+286,J1421+2824,C,14:21:14.055735,+28:24:52.78612,215.3085655625,28.4146628111,0.44,0.69,-0.524,384,0.04,0.035,-1.0,-1.0,0.027,0.025,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1419+469,J1421+4645,C,14:21:23.072900,+46:45:47.98706,215.3461370833,46.7633297389,0.19,0.17,-0.095,837,0.191,0.169,0.155,0.149,0.196,0.133,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1419+397,J1421+3933,C,14:21:23.550362,+39:33:32.05762,215.3481265083,39.5589048944,2.08,2.16,-0.555,24,-1.0,-1.0,0.126,-1.0,0.025,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1415-791,J1421-7920,U,14:21:23.977496,-79:20:26.39769,215.3499062333,-79.340666025,58.45,10.56,0.907,11,0.021,-1.0,-1.0,-1.0,0.015,0.022,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1418-278,J1421-2803,C,14:21:32.196130,-28:03:21.85451,215.3841505417,-28.0560706972,1.32,3.54,0.252,34,-1.0,-1.0,0.047,0.028,0.044,0.038,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1418-192,J1421-1931,C,14:21:36.958115,-19:31:18.85137,215.4039921458,-19.5219031583,0.12,0.26,-0.319,892,0.105,0.102,0.086,-1.0,0.226,0.204,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1419+104,J1421+1013,C,14:21:44.558125,+10:13:57.03746,215.4356588542,10.2325104056,0.17,0.31,-0.191,575,0.123,0.054,0.086,0.033,0.055,0.033,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1419+041,J1421+0355,C,14:21:55.252338,+03:55:36.78670,215.480218075,3.9268851944,0.18,0.37,0.047,295,0.308,-1.0,0.14,0.015,0.114,0.03,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1419-089,J1422-0910,U,14:22:13.878623,-09:10:18.85352,215.5578275958,-9.1719037556,15.13,15.71,0.212,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1419+123,J1422+1208,U,14:22:21.903688,+12:08:45.82896,215.5912653667,12.1460636,3.05,5.19,0.162,9,-1.0,-1.0,0.055,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1420+326,J1422+3223,C,14:22:30.378948,+32:23:10.44011,215.62657895,32.3862333639,0.16,0.17,-0.356,1264,0.339,0.239,0.291,0.251,0.227,0.124,0.717,0.432,-1.0,-1.0,Fus,rfc_2024,-
1419-229,J1422-2308,C,14:22:37.106350,-23:08:30.13577,215.6546097917,-23.1417043806,0.12,0.25,-0.382,1623,0.109,0.062,-1.0,-1.0,0.238,0.175,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1420+072,J1422+0700,C,14:22:51.895498,+07:00:25.96438,215.7162312417,7.0072123278,0.69,1.68,-0.545,36,-1.0,-1.0,0.066,0.06,0.053,0.054,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1420+058,J1422+0540,C,14:22:53.227946,+05:40:13.43375,215.7217831083,5.6703982639,0.58,1.38,-0.552,36,-1.0,-1.0,0.173,0.14,0.087,0.089,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1420+165,J1423+1621,C,14:23:05.851021,+16:21:13.83061,215.7743792542,16.3538418361,0.63,1.5,-0.313,36,-1.0,-1.0,0.072,0.068,0.05,0.054,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421+482,J1423+4802,C,14:23:06.156643,+48:02:10.84533,215.7756526792,48.036345925,0.2,0.17,0.056,367,0.385,0.183,0.167,0.062,0.252,0.11,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1420-076,J1423-0751,C,14:23:06.203794,-07:51:27.73307,215.7758491417,-7.8577036306,0.82,1.93,-0.527,30,-1.0,-1.0,0.06,0.034,0.041,0.026,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421+487,J1423+4830,C,14:23:17.996404,+48:30:15.72818,215.8249850167,48.5043689389,1.93,2.19,0.372,28,-1.0,-1.0,0.032,0.015,0.033,0.014,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421+456,J1423+4523,C,14:23:28.721720,+45:23:43.89957,215.8696738333,45.3955276583,1.06,1.08,0.71,36,-1.0,-1.0,0.023,0.016,0.019,0.016,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421+122,J1423+1159,C,14:23:30.100092,+11:59:51.24986,215.87541705,11.9975694056,0.22,0.38,-0.272,535,0.469,0.063,-1.0,-1.0,0.073,0.037,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421+207,J1423+2029,C,14:23:49.687038,+20:29:21.85114,215.957029325,20.4894030944,0.65,1.34,0.087,44,-1.0,-1.0,0.035,0.033,0.036,0.036,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421-272,J1423-2726,U,14:23:58.293476,-27:26:08.20289,215.9928894833,-27.4356119139,20.34,35.26,-0.691,8,-1.0,-1.0,0.044,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421+034,J1424+0315,C,14:24:06.269131,+03:15:08.81959,216.0261213792,3.2524498861,0.43,0.87,0.217,61,-1.0,-1.0,0.074,0.056,0.04,0.016,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1422+276,J1424+2725,U,14:24:15.979686,+27:25:55.80848,216.066582025,27.4321690222,55.06,19.9,0.2,3,-1.0,-1.0,0.033,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421-138,J1424-1407,C,14:24:16.035170,-14:07:02.99405,216.0668132083,-14.1174983472,0.12,0.28,-0.414,475,0.133,0.082,-1.0,-1.0,0.183,0.117,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421-070,J1424-0719,C,14:24:19.979163,-07:19:31.39264,216.0832465125,-7.3253868444,0.84,1.98,-0.447,51,-1.0,-1.0,0.079,0.019,0.046,0.013,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421-165,J1424-1649,C,14:24:24.230151,-16:49:23.64465,216.1009589625,-16.823234625,1.77,3.99,0.674,31,-1.0,-1.0,0.032,0.03,0.022,0.02,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421-147,J1424-1457,C,14:24:24.785082,-14:57:55.58975,216.103271175,-14.9654415972,1.86,4.27,-0.426,20,-1.0,-1.0,0.028,-1.0,0.05,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1422+212,J1424+2102,C,14:24:25.951523,+21:02:36.50268,216.1081313458,21.0434729667,2.22,3.41,0.218,19,-1.0,-1.0,0.064,0.012,0.04,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1422+23C,J1424+225C,C,14:24:38.065618,+22:55:59.82338,216.1586067417,22.9332842722,0.14,0.23,-0.054,890,0.591,0.111,0.239,0.087,0.177,0.038,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1422+23B,J1424+225B,C,14:24:38.089712,+22:56:00.56885,216.1587071333,22.9334913472,0.15,0.21,0.246,914,0.76,0.111,0.295,0.119,0.2,0.026,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1422+23A,J1424+225A,C,14:24:38.117977,+22:56:00.89050,216.1588249042,22.9335806944,0.15,0.2,0.12,943,0.7,0.163,0.51,0.098,0.187,0.029,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1422+215,J1424+2120,U,14:24:42.823131,+21:20:58.91787,216.1784297125,21.3496994083,50.0,281.65,-0.983,3,-1.0,-1.0,0.027,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1422+169,J1424+1640,C,14:24:43.310489,+16:40:41.92510,216.1804603708,16.6783125278,0.77,1.55,0.141,37,-1.0,-1.0,0.065,0.027,0.045,0.025,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1422+364,J1424+3615,C,14:24:55.511595,+36:15:36.04154,216.2312983125,36.2600115389,0.22,0.25,-0.252,589,0.069,0.05,-1.0,-1.0,0.049,0.032,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1421-458,J1425-4604,C,14:25:11.024340,-46:04:53.74993,216.29593475,-46.0815972028,1.75,1.2,0.01,55,-1.0,-1.0,-1.0,-1.0,0.197,0.172,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1422+128,J1425+1239,C,14:25:18.609578,+12:39:27.00490,216.3275399083,12.6575013611,0.48,1.15,-0.212,28,-1.0,-1.0,0.118,0.021,0.09,0.019,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1422-249,J1425-2513,C,14:25:23.037384,-25:13:06.97118,216.3459891,-25.2186031056,0.2,0.4,-0.434,408,0.173,0.093,-1.0,-1.0,0.111,0.058,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1423+162,J1425+1602,C,14:25:27.381089,+16:02:54.57491,216.3640878708,16.0484930306,0.63,1.25,0.051,44,-1.0,-1.0,0.05,0.045,0.057,0.059,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1423-101,J1425-1022,C,14:25:46.560343,-10:22:24.67007,216.4440014292,-10.3735194639,0.5,1.44,-0.104,39,-1.0,-1.0,0.098,0.081,0.052,0.033,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1423+146,J1425+1424,C,14:25:49.018014,+14:24:56.90189,216.454241725,14.4158060806,0.11,0.16,-0.127,4492,0.397,0.291,0.126,-1.0,0.351,0.222,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1423-042,J1425-0429,C,14:25:50.402119,-04:29:50.85039,216.4600088292,-4.4974584417,0.5,1.13,0.157,45,-1.0,-1.0,0.066,0.047,0.064,0.041,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1424+342,J1426+3404,C,14:26:07.716174,+34:04:26.32456,216.532150725,34.0739790444,0.34,0.39,-0.338,358,0.026,0.019,-1.0,-1.0,0.027,0.02,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1423+047,J1426+0434,C,14:26:19.249225,+04:34:06.30308,216.5802051042,4.5684175222,0.81,1.87,-0.557,36,-1.0,-1.0,0.064,0.052,0.048,0.03,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1424+366,J1426+3625,C,14:26:37.087505,+36:25:09.57353,216.6545312708,36.4193259806,0.14,0.12,-0.029,2509,0.408,0.297,0.433,0.346,0.3,0.107,0.425,0.104,-1.0,-1.0,Fus,rfc_2024,-
1423-605,J1427-6047,U,14:27:14.610779,-60:47:57.41372,216.8108782458,-60.7992815889,79.45,37.79,-0.975,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1424-328,J1427-3305,C,14:27:41.361141,-33:05:31.50616,216.9223380875,-33.0920850444,0.2,0.41,-0.386,524,0.229,0.145,0.238,-1.0,0.415,0.418,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1425-045,J1427-0445,N,14:27:43.988004,-04:45:52.00740,216.93328335,-4.7644465,2.36,7.13,-0.594,13,-1.0,-1.0,0.026,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1425+009,J1427+0042,N,14:27:46.964701,+00:42:33.57721,216.9456862542,0.7093270028,2.34,7.94,-0.702,15,-1.0,-1.0,0.061,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1424-320,J1427-3215,U,14:27:50.208558,-32:15:17.02677,216.959202325,-32.2547296583,2.12,7.51,0.384,9,-1.0,-1.0,0.021,-1.0,0.01,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1425+167,J1428+1628,C,14:28:11.383692,+16:28:51.87138,217.04743205,16.4810753833,0.25,0.42,0.151,126,-1.0,-1.0,0.082,0.081,0.07,0.059,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1426+212,J1428+2103,C,14:28:46.412687,+21:03:36.75555,217.1933861958,21.060209875,0.16,0.24,-0.17,515,0.107,0.059,0.076,0.026,0.184,0.119,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1426+346,J1429+3426,U,14:29:05.119902,+34:26:40.99984,217.271332925,34.4447221778,25.84,28.21,0.837,3,-1.0,-1.0,0.025,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1426+200,J1429+1951,C,14:29:09.790941,+19:51:38.14590,217.2907955875,19.8605960833,1.44,3.41,0.252,15,-1.0,-1.0,0.075,0.033,0.048,0.031,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1426-160,J1429-1615,C,14:29:31.434157,-16:15:40.46371,217.3809756542,-16.2612399194,1.93,4.37,0.668,27,-1.0,-1.0,0.026,0.017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1427+451,J1429+4457,U,14:29:33.681633,+44:57:31.17099,217.3903401375,44.9586586083,66.27,14.61,-0.401,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1427+305,J1429+3021,U,14:29:39.968621,+30:21:10.97729,217.4165359208,30.3530492472,4.03,9.22,0.295,5,-1.0,-1.0,0.017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1427+109,J1430+1043,C,14:30:09.738806,+10:43:26.86250,217.5405783583,10.7241284722,0.11,0.19,-0.225,739,0.562,0.518,1.071,1.031,0.583,0.322,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1428+321,J1430+3158,C,14:30:20.196893,+31:58:02.55705,217.5841537208,31.9673769583,0.18,0.19,-0.302,578,-1.0,-1.0,0.144,0.132,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1428+422,J1430+4204,C,14:30:23.741645,+42:04:36.49116,217.5989235208,42.0768031,0.14,0.11,-0.165,4765,0.15,0.098,0.23,0.214,0.17,0.147,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1428+254,J1430+2512,C,14:30:27.883088,+25:12:00.96400,217.6161795333,25.2002677778,0.71,2.04,-0.072,27,-1.0,-1.0,0.065,0.063,0.027,0.026,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1428+370,J1430+3649,C,14:30:40.583688,+36:49:03.88882,217.6690987,36.8177468944,0.13,0.12,-0.096,3682,0.23,0.206,0.187,0.173,0.255,0.226,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1429+249,J1431+2442,C,14:31:25.884706,+24:42:20.70506,217.8578529417,24.7057514056,0.14,0.17,-0.389,2060,0.083,0.062,-1.0,-1.0,0.08,0.042,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1429+135,J1431+1322,U,14:31:26.883536,+13:22:33.18151,217.8620147333,13.3758837528,16.34,12.12,0.371,5,-1.0,-1.0,0.015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1428-149,J1431-1509,C,14:31:28.132269,-15:09:28.79791,217.8672177875,-15.1579994194,0.19,0.29,0.218,150,0.11,0.065,-1.0,-1.0,0.089,0.058,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1429+204,J1431+2012,C,14:31:44.302371,+20:12:59.90886,217.9345932125,20.21664135,0.81,1.8,0.219,35,-1.0,-1.0,0.031,0.029,0.026,0.021,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1429-043,J1431-0433,C,14:31:55.211923,-04:33:54.05039,217.9800496792,-4.5650139972,1.19,3.44,-0.045,21,-1.0,-1.0,0.09,0.064,0.038,0.026,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1429+102,J1431+1002,C,14:31:57.979848,+10:02:14.93037,217.9915827,10.0374806583,1.69,3.81,0.185,17,-1.0,-1.0,0.046,-1.0,0.025,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1429-164,J1432-1641,N,14:32:27.587096,-16:41:45.93155,218.1149462333,-16.6960920972,2.53,6.13,-0.052,18,-1.0,-1.0,0.071,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1429-199,J1432-2010,U,14:32:38.456224,-20:10:21.91238,218.1602342667,-20.1727534389,7.58,9.77,-0.056,11,-1.0,-1.0,0.068,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
NGC5675,J1432+3618,C,14:32:39.829590,+36:18:07.93271,218.165956625,36.3022035306,0.18,0.24,-0.131,482,0.044,0.043,-1.0,-1.0,0.073,0.052,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1430+412,J1432+4103,C,14:32:43.296346,+41:03:27.83607,218.1804014417,41.0577322417,1.96,2.05,-0.334,181,0.172,0.052,-1.0,-1.0,0.038,0.015,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1430+304,J1432+3014,U,14:32:44.901087,+30:14:35.94404,218.1870878625,30.2433177889,233.58,489.83,-0.998,3,-1.0,-1.0,0.023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1430-213,J1432-2133,C,14:32:56.011858,-21:33:18.32581,218.2333827417,-21.5550905028,1.54,4.32,0.319,25,-1.0,-1.0,0.035,-1.0,0.033,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1430+105,J1433+1018,C,14:33:02.055035,+10:18:08.75296,218.2585626458,10.3024313778,1.07,2.65,-0.496,25,-1.0,-1.0,0.04,-1.0,0.017,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1430-21C,J1433-2136,N,14:33:13.223997,-21:36:48.21772,218.3050999875,-21.6133938111,4.9,9.5,-0.624,13,-1.0,-1.0,0.021,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1430-021,J1433-0220,C,14:33:24.787614,-02:20:45.64971,218.353281725,-2.3460138083,0.92,1.95,-0.505,36,-1.0,-1.0,0.162,0.023,0.057,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1424-834,J1433-8341,C,14:33:28.432818,-83:41:08.71030,218.368470075,-83.6857528611,2.12,0.36,-0.076,113,-1.0,-1.0,-1.0,-1.0,0.25,0.258,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1432+422,J1434+4203,C,14:34:05.694481,+42:03:15.99149,218.5237270042,42.0544420806,0.17,0.16,-0.019,1060,0.284,0.224,0.206,0.174,0.221,0.167,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1431+043,J1434+0404,C,14:34:23.949245,+04:04:55.27869,218.5997885208,4.0820218583,0.83,2.33,-0.578,28,-1.0,-1.0,0.049,0.062,0.04,0.04,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1432+200,J1434+1952,C,14:34:39.793362,+19:52:00.73575,218.665805675,19.8668710417,0.12,0.15,-0.09,6153,0.253,0.144,0.192,0.142,0.266,0.18,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1431-125,J1434-1246,C,14:34:42.985104,-12:46:47.54183,218.6791046,-12.7798727306,2.21,4.2,0.015,22,-1.0,-1.0,0.067,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1432+383,J1434+3805,C,14:34:47.102362,+38:05:13.54644,218.6962598417,38.0870962333,1.27,1.67,-0.42,48,-1.0,-1.0,0.017,0.013,0.026,0.017,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1432-102,J1435-1030,C,14:35:14.394210,-10:30:33.20078,218.809975875,-10.5092224389,0.19,0.46,-0.359,214,-1.0,-1.0,0.066,0.05,0.041,0.037,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1433+362,J1435+3604,C,14:35:26.320564,+36:04:33.35500,218.8596690167,36.0759319444,1.21,1.57,-0.584,36,-1.0,-1.0,0.081,0.038,0.038,0.02,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1433+304,J1435+3012,C,14:35:35.402172,+30:12:24.51935,218.89750905,30.2068109306,0.16,0.19,0.132,1125,0.132,0.085,0.161,0.091,0.101,0.053,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1433-040,J1435-0414,C,14:35:39.904469,-04:14:55.29959,218.9162686208,-4.2486943306,0.2,0.4,0.222,530,0.33,0.087,-1.0,-1.0,0.096,0.032,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1433+029,J1435+0242,C,14:35:40.205109,+02:42:26.50512,218.9175212875,2.7073625333,1.06,2.7,-0.665,28,-1.0,-1.0,0.044,0.027,0.03,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1434+476,J1436+4725,C,14:36:06.622758,+47:25:31.90686,219.027594825,47.4255296833,1.57,1.82,0.378,34,-1.0,-1.0,0.036,0.019,0.03,0.026,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1434+235,J1436+2321,C,14:36:40.981090,+23:21:03.25960,219.1707545417,23.3509054444,0.13,0.17,-0.14,1002,0.907,0.756,0.719,0.573,0.553,0.306,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1434-185,J1436-1846,C,14:36:56.768264,-18:46:34.13218,219.2365344333,-18.7761478278,0.14,0.31,-0.333,622,0.066,0.061,-1.0,-1.0,0.067,0.062,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1435+353,J1437+3505,C,14:37:13.568598,+35:05:54.83270,219.306535825,35.0985646389,0.92,1.13,0.569,36,-1.0,-1.0,0.035,0.02,0.028,0.022,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1434-325,J1437-3244,C,14:37:14.848957,-32:44:48.00855,219.3118706542,-32.7466690417,0.38,1.13,-0.094,49,-1.0,-1.0,0.258,-1.0,0.193,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1435+382,J1437+3804,C,14:37:19.201472,+38:04:37.75720,219.3300061333,38.0771547778,0.75,1.3,0.375,181,0.018,-1.0,0.009,0.007,0.01,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1435+100,J1437+0948,C,14:37:37.057793,+09:48:47.69734,219.4044074708,9.8132492611,0.37,0.76,0.164,45,-1.0,-1.0,0.043,0.018,0.066,0.048,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1434-111,J1437-1119,C,14:37:41.905219,-11:19:10.69923,219.4246050792,-11.319638675,0.35,0.78,-0.279,226,-1.0,-1.0,0.063,0.039,0.025,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1435+35A,J1437+351A,U,14:37:52.051452,+35:19:39.96887,219.46688105,35.3277691306,7.46,5.69,0.116,9,-1.0,-1.0,0.015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1435+302,J1437+3002,C,14:37:58.673879,+30:02:07.07398,219.4944744958,30.0352983278,0.23,0.37,0.2,90,-1.0,-1.0,0.094,0.09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1435+116,J1438+1125,U,14:38:10.755761,+11:25:07.64826,219.5448156708,11.4187911833,17.41,9.52,0.523,10,-1.0,-1.0,0.033,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1436+369,J1438+3644,C,14:38:13.724892,+36:44:50.87677,219.55718705,36.7474657694,1.01,1.75,0.178,36,-1.0,-1.0,0.077,0.077,0.061,0.058,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1435+213,J1438+2105,C,14:38:16.111054,+21:05:58.56293,219.5671293917,21.0996008139,0.81,1.88,0.179,32,-1.0,-1.0,0.03,0.025,0.015,0.015,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1435-285,J1438-2847,N,14:38:17.006432,-28:47:26.99051,219.5708601333,-28.7908306972,2.18,6.9,-0.353,21,-1.0,-1.0,0.063,-1.0,0.036,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
1436+122,J1438+1204,C,14:38:25.559914,+12:04:19.00593,219.6064996417,12.0719460917,0.6,0.78,0.377,36,-1.0,-1.0,0.028,-1.0,0.026,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
