INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV
29,29,RACS_0426-84,36462,0,36447,IMAGED,04 26 10.766,-84 07 01.029,66.54485833333334,-84.1169525,297.4311877519333,-30.504479903836923,-111.655,5149832684.4706545,895.7951998989868,895.7952000000001,36,5223274873.358,197921941,18.0,11.000000000000016,40.26,-0.006721940822899342,0.7121086120605469,179.56676864906802,173.5056391649644,97.07618986109071,111.91599982327403,1483.6250570988639,5223307455.0,4536,0,0,0,,100
30,30,RACS_0510-79,36423,0,36447,IMAGED,05 10 49.671,-78 57 10.22,77.70696249999999,-78.95283888888889,291.2157704134892,-31.333422604388392,-122.928,5149749674.115454,915.7017607968139,915.7017600000001,36,5223249695.393689,197694956,15.699999999999996,8.200000000000008,40.49,-0.006216107401996851,1.4130326509475708,178.11674891444292,172.62119631197766,103.2901369444135,120.99421156875464,1400.2959503784632,5223258140.0,4536,0,0,0,,100
31,31,RACS_0526-73,36463,0,36447,IMAGED,05 26 41.655,-73 38 12.38,81.6735625,-73.63677222222223,284.9121848887255,-31.879041880123495,-127.006,5149833868.9109745,905.748479394226,905.7484800000001,36,5218400740.993329,197544599,13.399999999999991,7.400000000000016,32.25,-0.008277812972664833,1.0012787580490112,183.3061079699698,177.29716798828994,117.10943423607067,128.38736916578108,1766.775709509938,5218409465.0,2790,0,0,0,,100
32,32,RACS_1934-72,37303,0,37328,IMAGED,19 34 48.396,-72 19 38.12,293.70165,-72.32725555555555,322.8701236794503,-29.031250369158734,22.301,5151345820.139902,905.7484803479003,905.7484800000001,36,5223510911.64325,197233685,12.399999999999984,6.800000000000004,-35.56,-0.04967375099658966,1.2511061429977417,211.1855542951376,204.72680233799454,128.63556111723196,142.82012356927078,1869.4015514240873,5223521887.0,4536,0,0,0,,100
33,33,RACS_2012-77,37339,0,37328,IMAGED,20 12 40.391,-77 06 42.13,303.1682958333333,-77.11170277777777,317.0406328684087,-30.89029556042073,12.498,5151438660.796799,905.748479394226,905.7484800000001,36,5223474548.20726,197346497,12.899999999999988,7.599999999999996,-14.08,-0.007313964888453484,0.7795966863632202,202.79628988369205,195.87838302415904,151.22419275605392,135.42697162783702,2002.4516315615733,5223481225.0,4536,0,0,0,,100
34,34,RACS_2129-81,37162,0,37146,IMAGED,21 29 50.363,-81 08 49.22,322.45984583333336,-81.14700555555557,311.01796285931187,-32.53803967495629,-7.128,5150754568.544639,915.7017598431396,915.7017600000001,36,5221272571.478453,197412452,14.699999999999989,9.19999999999998,-6.63,-0.006623906083405018,1.285705804824829,180.79941779971566,174.5960387671345,105.72758044605666,118.25861552629408,1434.8306054977068,5221281046.0,4536,0,0,0,,100
35,35,RACS_0000-83,36723,0,36716,IMAGED,00 00 00,-82 59 26.35,0.0,-82.99065277777778,304.8081563374395,-33.94924614595723,-45.0,5150245493.440894,915.7017607968139,915.7017600000001,36,5223435330.823105,196198308,13.5,9.0,8.86,-0.02611088939011097,0.8240353465080261,194.1974447602427,184.5036219179664,172.9993154925303,120.46760519492882,1758.9567847566484,5223443070.0,4536,0,0,0,,100
36,36,RACS_0230-81,36415,0,36447,IMAGED,02 30 09.636,-81 08 49.22,37.54015,-81.14700555555557,298.42691177379214,-35.10020529722056,-82.872,5149740128.919934,915.7017598431396,915.7017600000001,36,5223246912.574729,197249025,15.999999999999984,9.299999999999988,43.88,-0.005224768538028002,0.43400731682777405,172.0717057552578,166.20892221568457,112.13324425708198,114.38568969228871,1669.8450494289752,5223258087.0,4536,0,0,0,,100
37,37,RACS_0347-77,36527,0,36447,IMAGED,03 47 19.608,-77 06 42.13,56.83169999999999,-77.11170277777777,291.90019421759786,-35.96996410655626,-102.498,5149915455.615358,905.748479394226,905.7484800000001,36,5223350594.576845,197432418,14.4,7.800000000000012,38.82,-0.021072426810860634,7.6114349365234375,177.6539468164352,170.2065245477307,123.3442255548678,120.27144944605958,5097.065987102715,5223395041.0,4536,0,0,0,,100
38,38,RACS_0425-72,36461,0,36447,IMAGED,04 25 11.603,-72 19 38.12,66.29834583333333,-72.32725555555555,285.26379124707455,-36.5416106618852,-112.301,5149831579.656574,905.748479394226,905.7484800000001,36,5223274385.086707,197130669,13.200000000000012,7.099999999999992,39.87,-0.0330241434276104,6.248058319091797,184.3706757338335,178.70565745088024,101.42664048416334,127.20578436148087,3414.508898758376,5223307424.0,4536,0,0,0,,100
